City,city_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,age29andunder_pct,age65andolder_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax
"Downey, California",111126,3457,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.053470903,6782.028673
"Inglewood, California",108151,4604,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.053454869,6782.028673
"West Covina, California",105101,2529,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.057204439,6782.028673
"Norwalk, California",103949,4133,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.039322602,6782.028673
"Burbank, California",102511,2285,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.051801823,6782.028673
"Burbank, California",102511,4872,50.403092,49.596908,26.1,32.6,2.4,0.2,34.9,0.3,5.7,52.1,15.1,18.6,6.3,7.9,75.1,10.5,4.4,2.1,3.1,4.8,84.7,9.3,5.9,0.1,106761,858,48689,418,28,1202.055644,60,17.09,48.2,71.8,39.42445211,12.21576441,1.083663272,1,20.58038195,72.71244222,0.051801823,8077.244835
"Compton, California",95605,3680,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.059127364,6782.028673
"South Gate, California",93444,4985,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.073645053,6782.028673
"Carson, California",91394,1883,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.050546025,6782.028673
"Santa Monica, California",90401,4147,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.0867521,6782.028673
