index,city_population,county_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,age29andunder_pct,age65andolder_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax
608,72299,396731,1093,49.1211929,50.8788071,4.6,89.2,1.5,0.2,3.2,0.0,3.3,45.6,13.0,24.3,6.4,10.7,86.9,6.2,0.6,1.2,0.8,4.4,87.4,8.4,4.1,0.1,81140,900,42094,544,24.0,1817.110583,47.4,37.95,38.1,56.6,34.96435048,16.4928663,9.860448177,1,59.62174011,33.13225291,0.033200346,5471.475375999999
609,72244,246105,1172,49.2899372,50.7100628,8.8,74.8,8.8,0.2,4.5,0.1,5.1,46.1,15.5,22.3,8.8,7.4,78.1,9.6,2.9,2.1,1.2,6.1,73.9,20.6,5.3,0.2,88502,1557,39566,564,35.0,3552.1513950000003,54.9,42.33,45.2,64.6,38.79695233,12.8556466,25.20770401,1,47.36109232,44.9740207,0.045588618,4609.629872
610,72130,91522,505,46.3025284,53.6974716,2.6,26.2,68.4,0.1,0.8,0.0,15.8,30.3,22.3,22.9,7.9,16.6,77.5,12.7,2.2,2.5,0.8,4.4,72.3,23.6,4.0,0.1,34541,1950,20292,692,18.9,1816.413282,68.4,60.91,57.8,79.0,44.0331001,13.4783268,13.95971025,3,30.01730865,68.38677502,0.114468463,3552.7986960000003
611,71721,186081,942,51.04873679999999,48.95126320000001,8.1,77.0,4.7,0.1,8.0,0.0,5.2,39.2,17.7,20.6,6.7,15.8,74.1,10.6,3.1,6.7,2.3,3.2,79.5,16.8,3.5,0.2,50486,996,25481,644,17.7,1816.413282,52.0,36.1,42.2,61.9,52.92289405,10.24498765,14.50109966,3,49.21698792,43.64072623,0.0997608999999999,2505.864943
612,71705,200491,497,49.3428633,50.6571367,5.3,64.6,24.0,0.5,3.0,0.0,9.4,28.6,23.9,24.6,11.7,11.2,82.7,8.5,0.9,4.3,1.2,2.4,75.4,18.8,5.5,0.2,44684,1105,23127,443,22.7,2203.797857,67.7,60.55,58.7,76.7,41.96958251,13.26685803,22.84492665,2,63.73730513,33.43547139,0.105009899,2907.18661
613,70746,107587,645,47.8115386,52.1884614,2.2,76.7,13.9,0.3,1.1,0.0,9.2,32.0,20.2,23.3,8.4,16.1,83.0,9.5,1.5,1.8,1.0,3.2,82.5,12.4,4.9,0.2,49052,1793,28280,760,17.9,3300.620804,52.8,42.16,43.2,62.4,37.68218885,17.75118999,15.26162791,3,55.90095714,38.16687474,0.0707764729999999,5174.610016
614,70635,490332,920,48.5403767,51.4596233,8.8,69.0,18.0,0.2,2.2,0.1,5.5,37.9,16.4,23.8,7.0,14.8,83.4,9.2,0.4,1.4,1.1,4.4,85.5,9.6,4.8,0.1,53739,834,29132,426,22.2,3952.384029,61.3,76.51,51.3,71.2,39.54698449,14.28396631,12.60568453,2,59.41114958,34.61668952,0.0995223059999999,2871.888886
615,70543,123824,690,48.9533531,51.0466469,5.1,79.6,9.2,0.4,3.3,0.2,5.6,32.5,17.5,25.4,7.1,17.5,81.2,11.4,0.3,3.2,1.0,2.9,81.1,14.3,4.5,0.1,49508,2374,25840,815,20.2,1193.161489,58.7,70.36,47.9,69.4,46.26567327,11.93646441,31.18496907,3,59.17571305,35.01465307,0.1026110569999999,2832.519029
616,70465,64283,824,49.6554299,50.3445701,12.1,77.6,1.0,0.3,6.4,0.0,4.0,53.3,12.0,22.0,5.9,6.8,77.9,6.4,3.6,1.1,1.8,9.3,80.3,13.6,6.0,0.1,85639,2394,43736,1707,27.9,943.696179,51.4,13.17,36.9,66.0,39.24482378,11.92172813,0.583299039,1,38.11987583,52.35214519,0.038148119,3810.403402
617,70447,374273,1040,48.5669551,51.4330449,1.9,86.8,7.1,0.1,0.8,0.0,6.7,32.2,18.7,23.9,8.4,16.8,85.1,8.0,1.3,1.6,0.7,3.3,84.8,10.0,5.1,0.1,50117,834,27401,464,21.8,2154.454846,52.3,38.8,42.1,62.5,36.74198558,17.70590401,13.53005703,2,56.14503621,38.88746227,0.118178919,4213.811775
